availability,detail,images,name,regular_price,sale_price,sku
In stock,"An elongated play on one of our most classic silhouettes, the Olivia Drop Earrings in Rock Crystal provide elegance for the everyday and beyond.																",https://www.jewelryus.shop/images/cache/e/2/e24bca6b34cf6088dafb67421e483127.jpg,Olivia Drop Earrings in Rock Crystal,$90.00,$23.00,KS-0768
In stock,"Our classic oval shape goes dainty in the Lee Rose Gold Drop Earrings in Ivory Pearl, a subtle take on a signature style.																",https://www.jewelryus.shop/images/cache/0/7/070cab114fbd4987fb05c5f6f30fdb71.jpg,Lee Rose Gold Drop Earrings in Ivory Pearl,$70.00,$18.99,KS-0766
In stock,"Our custom kite silhouette teams up with a delicate metallic frame to create the Carla Drop Earrings in Peach, a classic and feminine accent to any outfit.																",https://www.jewelryus.shop/images/cache/f/d/fd6279be732967d2386c180c692db345.jpg,Carla Drop Earrings in Peach,$90.00,$23.00,KS-0706
In stock,"Steal the show with the Decker Statement Earrings in Aqua Apatite, featuring crystal accents and strings of genuine stone beads for the perfect move-with-you fringe.																",https://www.jewelryus.shop/images/cache/4/5/45e3747774cd3598ad6a6bedc9356683.jpg,Decker Statement Earrings in Aqua Apatite,$119.97,$31.99,KS-0765
In stock,"Steal the show with the Decker Statement Earrings in Emerald Illusion, featuring crystal accents and strings of genuine stone beads for the perfect move-with-you fringe.																",https://www.jewelryus.shop/images/cache/2/c/2ce802a24a6c05f358fa7296d40fab76.jpg,Decker Statement Earrings in Emerald Illusion,$119.97,$31.99,KS-0764
In stock,"With studded crystal accents surrounding an oval pendant and four delicate studs on the chain, the Brett Pendant Necklace in Pyrite is a statement whether worn alone or layered.																",https://www.jewelryus.shop/images/cache/e/7/e76c9c42d9c047b1e4c201daa1326f05.jpg,Brett Pendant Necklace in Pyrite,$69.97,$16.99,KS-0770
In stock,"Long in length and signature in style, the Carole Necklace in Slate features a custom kite-shaped pendant that is sure to take center stage to any outfit.																",https://www.jewelryus.shop/images/cache/e/b/eb4933ee27b67bb8caeb446056965498.jpg,Carole Long Pendant Necklace in Slate,$110.00,$29.00,KS-0763
In stock,"For an heirloom inspired look with modern touches, look no further than the Glenda Statement Earrings in Rock Crystal, featuring elegant stones interlaced with intricate crystal accents.																",https://www.jewelryus.shop/images/cache/a/3/a34b924ea4fe8dc76f3d3a42304972df.jpg,Glenda Statement Earrings in Rock Crystal,$215.00,$60.50,KS-0761
In stock,"For an heirloom inspired look with modern touches, look no further than the Glenda Statement Earrings in Berry Glass, featuring elegant stones interlaced with intricate crystal accents.																",https://www.jewelryus.shop/images/cache/7/5/756d91f391af365433597b5b13cc219f.jpg,Glenda Statement Earrings in Berry Glass,$215.00,$60.50,KS-0762
In stock,"With studded crystal accents surrounding an oval pendant and four delicate studs on the chain, the Brett Pendant Necklace in Emerald Glass is a statement whether worn alone or layered.																",https://www.jewelryus.shop/images/cache/3/b/3bc974ea7691330c266718a7529ba77d.jpg,Brett Pendant Necklace in Emerald Glass,$69.97,$16.99,KS-0772
In stock,"A take on our signature shape that is both minimalist and recognizable, the Barrett Stud Earrings in Gold are an everyday accessory that works with anything you pair it with.																",https://www.jewelryus.shop/images/cache/6/0/60fce05a52345a8a2f0203535ecf5f64.jpg,Barrett Stud Earrings in Gold,$65.00,$17.89,KS-0773
In stock,"With studded crystal accents surrounding an oval pendant and four delicate studs on the chain, the Brett Pendant Necklace in Aqua Apatite is a statement whether worn alone or layered.																",https://www.jewelryus.shop/images/cache/4/1/415c9a58c491b4cbe3564bee4a687236.jpg,Brett Pendant Necklace in Aqua Apatite,$69.97,$16.99,KS-0771
In stock,"For a necklace that as bold as it is beautiful, look no further then seven striking stones linked together to create the Harlow Silver Statement Necklace in Suspended Ivory Mother-of-Pearl.																",https://www.jewelryus.shop/images/cache/0/0/009872f8c28183d66ad6732ac541f812.jpg,Harlow Silver Statement Necklace in Suspended Ivory Mother of Pearl,$245.00,$69.50,KS-0834
In stock,"All eyes will be on you with the Bette Statement Necklace in Gold, featuring cascading stones in a myriad of shapes, crystal accents, and an adjustable closure.																",https://www.jewelryus.shop/images/cache/6/4/64568915113e11b60c2b23ad4a6c2bd6.jpg,Bette Statement Necklace in Gold,$370.00,$107.00,KS-0832
In stock,"All eyes will be on you with the Bette Statement Necklace in Antique Silver, featuring cascading stones in a myriad of shapes, crystal accents, and an adjustable closure.																",https://www.jewelryus.shop/images/cache/d/e/debbc5747c22598cadaa44c41a696221.jpg,Bette Statement Necklace in Antique Silver,$370.00,$107.00,KS-0833
In stock,"With regal-inspired detail, subtle sparkle, and an adjustable fit, the Codi Pinch Bracelet in Rose Gold is ready to wear for every event on your calendar ?C and looks great stacked.																",https://www.jewelryus.shop/images/cache/2/e/2e9c8a923ce7509e47c1cca3e492dc35.jpg,Codi Pinch Bracelet in Rose Gold,$65.00,$17.89,KS-0830
In stock,"A delicate kite-shaped stone and metallic detailing team up to create the Cory Silver Pendant Necklace in Rose Quartz, a timeless accessory that elevates the everyday.																",https://www.jewelryus.shop/images/cache/7/9/796f39c0d75069a67f29cb5fb87935e2.jpg,Cory Silver Pendant Necklace in Rose Quartz,$75.00,$19.89,KS-0759
In stock,"With regal-inspired detail, subtle sparkle, and an adjustable fit, the Codi Pinch Bracelet in Gold is ready to wear for every event on your calendar ?C and looks great stacked.																",https://www.jewelryus.shop/images/cache/a/8/a83ab921ac8c4fbb2ff2a5248ca8d3ec.jpg,Codi Pinch Bracelet in Gold,$65.00,$17.89,KS-0829
In stock,"Whether you like your bracelets loose or close to the wrist, our adjustable Elaina Bracelet in Berry is a delicate addition to any arm party. Gift Hint: This is perfect for January birthdays!																",https://www.jewelryus.shop/images/cache/1/d/1da0ee22761c895c2bd2015a9ecbd4a9.jpg,Elaina Adjustable Chain Bracelet in Berry,$70.00,$18.99,KS-0760
In stock,"With a studded Antique Silver silhouette and Swarovski® crystal accents, the Phillipe Bracelet is your new everyday accessory.																",https://www.jewelryus.shop/images/cache/a/8/a882b1dce9d5bfd3d650eb63c3548606.jpg,Phillipe Link Bracelet in Antique Silver,$115.00,$30.50,KS-0827
In stock,"With a studded Rose Gold silhouette and Swarovski® crystal accents, the Phillipe Bracelet is your new everyday accessory.																",https://www.jewelryus.shop/images/cache/f/5/f5d8b3aba286f1e9b9f0193ad27cbc8b.jpg,Phillipe Link Bracelet in Rose Gold,$115.00,$30.50,KS-0826
In stock,Hammered stone faceting and strings of genuine stone beads create a show-stopping fringe with the Blossom Statement Earrings in Amethyst.																,https://www.jewelryus.shop/images/cache/7/b/7b3f9187e4c4e3f78aaba5e9ad8ef76a.jpg,Blossom Statement Earrings in Amethyst,$145.00,$39.50,KS-0825
In stock,Hammered stone faceting and strings of genuine stone beads create a show-stopping fringe with the Blossom Statement Tassel Earrings in Bordeaux Tiger's Eye.																,https://www.jewelryus.shop/images/cache/2/6/260a0b75283be12e78453aad74e7df25.jpg,Blossom Statement Earrings in Bordeaux Tiger's Eye,$145.00,$39.50,KS-0823
In stock,"With crystal-inspired cut glass and intricate CZ detail, the Becky Drop Earrings in Gold make a show stopping statement for every special occasion.																",https://www.jewelryus.shop/images/cache/9/6/9669af00e90e51e6cdcce91c80f1d58f.jpg,Becky Drop Earrings in Gold,$130.00,$35.00,KS-0822
In stock,"With crystal-inspired cut glass and intricate CZ detail, the Becky Drop Earrings in Silver make a show stopping statement for every special occasion.																",https://www.jewelryus.shop/images/cache/a/0/a0e2d3fcf7a457a5d72720459192b697.jpg,Becky Drop Earrings in Silver,$130.00,$35.00,KS-0821
In stock,"Our classic oval shape goes dainty in the Lee Gold Drop Earrings in Cobalt Drusy, a subtle take on a signature style.																",https://www.jewelryus.shop/images/cache/e/d/ed4802d6eb15d86472e473d0cdc8c02d.jpg,Lee Gold Drop Earrings in Cobalt Drusy,$85.00,$21.89,KS-0828
In stock,Hammered stone faceting and strings of genuine stone beads create a show-stopping fringe with the Blossom Statement Earrings in Lapis.																,https://www.jewelryus.shop/images/cache/c/e/ce97ad87657da2edcd12e0e0bfab284b.jpg,Blossom Statement Earrings in Lapis,$145.00,$39.50,KS-0824
In stock,"Make stacking easy with the Rhonda Bangle Bracelet Set, a suite of mixed metals dotted with Swarovski® crystal accents that catch the eye at every angle.																",https://www.jewelryus.shop/images/cache/e/e/ee928a450f2bb6488c02baece1e77169.jpg,Rhonda Bangle Bracelet Set in Mixed Metals,$140.00,$38.00,KS-0819
In stock,"With studded crystal accents surrounding a bell-shaped pendant, the versatile Shelly Long Pendant Necklace in Gold features an adjustable slider that provides a length for every look.																",https://www.jewelryus.shop/images/cache/9/b/9b52a7b17d5b2ff822f7fbf4f0a58ad2.jpg,Shelly Long Pendant Necklace in Gold,$130.00,$35.00,KS-0815
In stock,"With studded crystal accents surrounding a bell-shaped pendant, the versatile Shelly Long Pendant Necklace in Rose Gold features an adjustable slider that provides a length for every look.																",https://www.jewelryus.shop/images/cache/c/a/ca563c08a581f9e0916f8f2c90f46a1c.jpg,Shelly Long Pendant Necklace in Rose Gold,$130.00,$35.00,KS-0816
In stock,"With an oval shaped stone that??s surrounded by intricate crystal accents, the Atticus Stud Earrings in Emerald Glass modernize heirloom style.																",https://www.jewelryus.shop/images/cache/4/4/44103bbf310645a3f10ec4c63e5f48da.jpg,Atticus Stud Earrings in Emerald Glass,$89.97,$22.99,KS-0820
In stock,"Our most iconic silhouette, the Danielle Silver Statement Earrings in Abalone Shell feature custom cut, oval stones framed in sleek metallic detail perfect for any occasion.																",https://www.jewelryus.shop/images/cache/8/6/86fb5cac4952967444dbe1fc6e458851.jpg,Danielle Silver Statement Earrings in Abalone Shell,$95.00,$24.50,KS-0831
Out of Stock,"Playing on one of the biggest trends of the season, the Megan Cocktail Ring is all you need to make a statement, with its large stone accent and nature-inspired details.																",https://www.jewelryus.shop/images/cache/6/b/6b4ae49cfcaf04e760a9030f0a6b859b.jpg,Megan Cocktail Ring Blue,$115.00,$30.50,KS-0808
In stock,"With studded crystal accents surrounding a bell-shaped pendant, the versatile Shelly Long Pendant Necklace in Silver features an adjustable slider that provides a length for every look.																",https://www.jewelryus.shop/images/cache/8/e/8e71934ad11ea9cea764eb5a4811e04d.jpg,Shelly Long Pendant Necklace in Silver,$130.00,$35.00,KS-0814
In stock,"A classic silhouette in a delicate metallic frame, the Alex Silver Drop Earrings in Ivory Pearl are a timeless accessory fit for any occasion. These drop earrings are the perfect combination of stylish and timeless. Dressed up or dressed down, you can??t go wrong wearing our Alex Silver Drop Earrings out and about.																",https://www.jewelryus.shop/images/cache/0/f/0f2f26bbfe8a0ffb1f76e826aeb6f825.jpg,Alex Silver Drop Earrings in Ivory Pearl,$75.00,$19.89,KS-0818
Out of Stock,"Playing on one of the biggest trends of the season, the Megan Cocktail Ring is all you need to make a statement, with its large stone accent and nature-inspired details.																",https://www.jewelryus.shop/images/cache/d/5/d54aef0334b6a1f87141d353a30e31f5.jpg,Megan Cocktail Ring Pink,$115.00,$30.50,KS-0807
Out of Stock,"Playing on one of the biggest trends of the season, the Megan Cocktail Ring is all you need to make a statement, with its large stone accent and nature-inspired details.																",https://www.jewelryus.shop/images/cache/f/a/fa530584f37dee200aee238fa2e5289a.jpg,Megan Cocktail Ring White,$115.00,$30.50,KS-0805
In stock,"A delicate chain bracelet with an adjustable slide, our Elaina Bracelet in Turquoise is a must-have layer for any gal??s style.																",https://www.jewelryus.shop/images/cache/7/c/7cfae4821420ea593c46c3d599353890.jpg,Elaina Adjustable Chain Bracelet in Turquoise,$70.00,$18.99,KS-0835
In stock,"A delicate chain bracelet with an adjustable slide, our Silver Elaina Bracelet in Cobalt Drusy is a must-have layer for any gal??s style.																",https://www.jewelryus.shop/images/cache/8/2/827055fb5a9bab94b008afecefd235e8.jpg,Elaina Silver Adjustable Chain Bracelet in Cobalt Drusy,$85.00,$21.89,KS-0809
In stock,"With regal details studded by crystals and a gentle sloping silhouette, the Vern Pendant Necklace in Rose Gold is an elegant statement for any special day.																",https://www.jewelryus.shop/images/cache/2/1/21f7c306031b4bfbfe60583453431dbe.jpg,Vern Pendant Necklace in Rose Gold,$100.00,$26.00,KS-0803
In stock,"Our classic oval shape goes dainty in the Lee Silver Drop Earrings in Ivory Mother-of-Pearl, a subtle take on a signature style.																",https://www.jewelryus.shop/images/cache/1/6/1609f3bb3cfc17e85382ea820e068e28.jpg,Lee Silver Drop Earrings in Ivory Mother of Pearl,$70.00,$18.99,KS-0890
In stock,"With a bold rectangular silhouette and iridescent Kyocera Opal stone clasped to a delicate Gold chain, the Edith Long Pendant Necklace is ready to be layered up or worn solo.																",https://www.jewelryus.shop/images/cache/b/5/b5741dd07541061da26044d4e9016c76.jpg,Edith Long Pendant Necklace in Gold,$150.00,$41.00,KS-0891
In stock,"Add texture and tone to your outfit with the Frankie Ear Climbers in Gold, a mix of stones in various shapes.																",https://www.jewelryus.shop/images/cache/3/c/3c6ede4eb023d92fc400f1e99df093c3.jpg,Frankie Ear Climbers in Gold,$140.00,$38.00,KS-0888
Out of Stock,"Meet the perfect statement accessory: the Naomi Double Ring, a two-finger ring with a trio of sparkling drusy stones that can be adjusted to your fit.																",https://www.jewelryus.shop/images/cache/5/2/52a0488e6528dff2e62351aa6d647d76.jpg,Naomi Double Ring Rose,$150.00,$41.00,KS-0887
Out of Stock,"Meet the perfect statement accessory: the Naomi Double Ring, a two-finger ring with a trio of sparkling drusy stones that can be adjusted to your fit.																",https://www.jewelryus.shop/images/cache/6/8/68b9f834e9e2edef532e0b149f059112.jpg,Naomi Double Ring White,$150.00,$41.00,KS-0884
Out of Stock,"Playing on one of the biggest trends of the season, the Megan Cocktail Ring is all you need to make a statement, with its large stone accent and nature-inspired details.																",https://www.jewelryus.shop/images/cache/1/2/12251a80efa630f0e2f431b36e44e073.jpg,Megan Cocktail Ring Red,$115.00,$30.50,KS-0806
In stock,"With regal details studded by crystals and a gentle sloping silhouette, the Vern Pendant Necklace in Gold is an elegant statement for any special day.																",https://www.jewelryus.shop/images/cache/9/9/99f266b9006dd880772dea1b1dfe6630.jpg,Vern Pendant Necklace in Gold,$100.00,$26.00,KS-0802
Out of Stock,"Meet the perfect statement accessory: the Naomi Double Ring, a two-finger ring with a trio of sparkling drusy stones that can be adjusted to your fit.																",https://www.jewelryus.shop/images/cache/4/9/49dd0915246c88fc0df04e8ed335b1e3.jpg,Naomi Double Ring Gray,$150.00,$41.00,KS-0885
In stock,"For a petite take on our iconic oval silhouette, look no further than the Ellie Silver Stud Earrings in Black, a classic with delicate details.																",https://www.jewelryus.shop/images/cache/8/a/8acbbccc76dcb07143621c4b4409a80a.jpg,Ellie Silver Stud Earrings in Black,$70.00,$18.99,KS-0879
In stock,"Our signature oval shape is removed from its frame for the first time to create the Aragon Drop Earrings, a modern style with a dynamic Abalone Shell centerpiece and Gold accent.																",https://www.jewelryus.shop/images/cache/3/a/3ab5b5b4209d25de18ef4d63c29a69a2.jpg,Aragon Gold Statement Earrings in Abalone Shell,$100.00,$26.00,KS-0881
In stock,"With a delicate CZ floral cluster that sparkles as much as it shimmers, the Nolan Adjustable Chain Bracelet in Gold is the perfect accessory to every special occasion.																",https://www.jewelryus.shop/images/cache/c/5/c59ce6e785c202c0cccf11ea6d4f0131.jpg,Nolan Adjustable Chain Bracelet in Gold,$110.00,$29.00,KS-0946
In stock,"The Carinne Silver Drop Earrings in Ivory Pearl feature dainty, kite-shaped stones and a feather-light frame that adds the finishing touch to any outfit.																",https://www.jewelryus.shop/images/cache/6/4/64f3cf274174f73aa564dd214764e992.jpg,Carinne Silver Drop Earrings in Ivory Pearl,$75.00,$19.89,KS-0947
In stock,"Our classic oval shape goes dainty in the Lee Silver Drop Earrings in Cobalt Drusy, a subtle take on a signature style.																",https://www.jewelryus.shop/images/cache/d/3/d3b3a9a4bafafd7623d5275f1b863d73.jpg,Lee Silver Drop Earrings in Cobalt Drusy,$85.00,$21.89,KS-0882
Out of Stock,"Meet the perfect statement accessory: the Naomi Double Ring, a two-finger ring with a trio of sparkling drusy stones that can be adjusted to your fit.																",https://www.jewelryus.shop/images/cache/2/6/263b63c131ef70f698edd9602524ab9a.jpg,Naomi Double Ring Black,$150.00,$41.00,KS-0886
In stock,"With six layers of shell and acrylic tabs on metal chains, the Patricia Statement Necklace in Neutral Mix combines color and texture for effortless drama.																",https://www.jewelryus.shop/images/cache/e/5/e5e0d72f4f3ad3e6968a93a6c6fd480b.jpg,Patricia Statement Necklace in Neutral Mix,$270.00,$77.00,KS-0817
In stock,Two dainty stones bookend the Teddy Pinch Bracelet in Blue Drusy for an elegant addition to any stack.																,https://www.jewelryus.shop/images/cache/7/c/7c8ab5cefda69f70ce3e2bd06e23fa3a.jpg,Teddy Pinch Bracelet in Blue Drusy,$100.00,$26.00,KS-0883
In stock,"Finish off a romantic look with the Ana Statement Earrings in Antique Silver, featuring floral filigree and featherlight fringe inspired by Tuscan landscapes.																",https://www.jewelryus.shop/images/cache/f/2/f223d76ea651e83bf0faf793d9f4f37f.jpg,Ana Statement Earrings in Antique Silver,$110.00,$29.00,KS-0940
In stock,The Irit Choker Necklace features Swarovski® crystals embedded into a studded Antique Silver silhouette and an adjustable neckline for a length that meets every look.																,https://www.jewelryus.shop/images/cache/c/9/c97fbae3e4ace835f4e7262663d21fa9.jpg,Irit Choker Necklace in Antique Silver,$140.00,$38.00,KS-0937
In stock,"Add texture and tone to your outfit with the Frankie Ear Climbers in Brass, a mix of stones in various shapes.																",https://www.jewelryus.shop/images/cache/d/0/d0ca7d8c0ccd3d77934b77f1153c48cd.jpg,Frankie Ear Climbers in Brass,$140.00,$38.00,KS-0889
In stock,"The Pryde Open Ring is bookended on one side by our signature shape  and on the other with a bold metal accent, creating an adjustable and artful addition to your everyday look.																",https://www.jewelryus.shop/images/cache/0/9/095e67a1132d27a2036159e4ab01c2e6.jpg,Pryde Open Ring,$70.00,$18.99,KS-0944
In stock,"Finish off a romantic look with the Ana Statement Earrings in Rose Gold, featuring floral filigree and featherlight fringe inspired by Tuscan landscapes.																",https://www.jewelryus.shop/images/cache/5/f/5f5e12edb73c5db6e88bc3979aacaa2c.jpg,Ana Statement Earrings in Rose Gold,$110.00,$29.00,KS-0941
In stock,"With a delicate CZ floral cluster that sparkles as much as it shimmers, the Nolan Adjustable Chain Bracelet in Silver is the perfect accessory to every special occasion.																",https://www.jewelryus.shop/images/cache/c/a/ca80381db61b2c48aa0a115cbce8c037.jpg,Nolan Adjustable Chain Bracelet in Silver,$110.00,$29.00,KS-0945
In stock,The Irit Choker Necklace features Swarovski® crystals embedded into a studded Rose Gold silhouette and an adjustable neckline for a length that meets every look.																,https://www.jewelryus.shop/images/cache/4/1/41b66a4decdd8aec81ea85dab94d0f8d.jpg,Irit Choker Necklace in Rose Gold,$140.00,$38.00,KS-0938
In stock,"Subtle metal detailing frames our pentagon-shaped stone in the Tessa Stud Earrings in Aqua Apatite, an artful addition to any look.																",https://www.jewelryus.shop/images/cache/e/b/ebde4bfdcf1a54d5668d16b013410948.jpg,Tessa Stud Earrings in Aqua Apatite,$64.97,$17.89,KS-1010
Out of Stock,"A nod to the growing signet trend, the Reagan Cocktail Ring  features a tapered band and flat face to create an instant classic and easy layerable with our most signature shape.																",https://www.jewelryus.shop/images/cache/5/3/539911eba2378b13bf3a05ed75ac0527.jpg,Reagan Cocktail Ring,$85.00,$21.89,KS-1009
In stock,"A classic bar silhouette is decorated in drusy to create the Leanor Silver Bar Pendant Necklace in Iridescent Drusy, a sparkling statement that??s simple enough for the everyday.																",https://www.jewelryus.shop/images/cache/a/3/a3ee7f086bcb7adde70c55543cecd915.jpg,Leanor Silver Bar Pendant Necklace in Iridescent Drusy,$95.00,$24.50,KS-0936
In stock,"Whether you like your bracelets loose or close to the wrist, our adjustable Elaina Bracelet in Berry Illusion is a delicate addition to any arm party. Gift Hint: This is perfect for October birthdays!																",https://www.jewelryus.shop/images/cache/1/4/1407ce32ee764217466ff022c34d2044.jpg,Elaina Adjustable Chain Bracelet in Berry Illusion,$70.00,$18.99,KS-1011
In stock,The Willow Choker Necklace in Crushed Gold Mica features an artful balance of masculine and feminine detail with hammered stone faceting for a statement-making accessory.																,https://www.jewelryus.shop/images/cache/8/7/8724910bb06638b170a83ac079c5bbda.jpg,Willow Choker Necklace in Crushed Gold Mica,$149.97,$40.99,KS-1008
In stock,"Whether you like your bracelets loose or close to the wrist, our Elaina Adjustable Chain Bracelet in Sand Drusy is a delicate addition to any arm party.																",https://www.jewelryus.shop/images/cache/a/b/abd10876e2be471e34d604986cc6e3f5.jpg,Elaina Adjustable Chain Bracelet in Sand Drusy,$85.00,$21.89,KS-1004
In stock,"Whether you like your bracelets loose or close to the wrist, our adjustable Elaina Bracelet in London Blue is a delicate addition to any arm party. Gift Hint: This is perfect for December birthdays!																",https://www.jewelryus.shop/images/cache/c/9/c93f28c05a57309579d1b20dbc2a5047.jpg,Elaina Adjustable Chain Bracelet in London Blue,$70.00,$18.99,KS-1002
In stock,The Willow Choker Necklace in Black Granite features an artful balance of masculine and feminine detail with hammered stone faceting for a statement-making accessory.																,https://www.jewelryus.shop/images/cache/7/d/7d6cbdd5dc18e0eabdfba90dbf9f5956.jpg,Willow Choker Necklace in Black Granite,$149.97,$40.99,KS-1007
In stock,"Whether you like your bracelets loose or close to the wrist, our adjustable Elaina Bracelet in Cobalt is a delicate addition to any arm party. Gift Hint: This is perfect for September birthdays!																",https://www.jewelryus.shop/images/cache/c/8/c8cf62258c6b23808b3ffdb0097ecc96.jpg,Elaina Adjustable Chain Bracelet in Cobalt,$70.00,$18.99,KS-1005
In stock,"Whether you like your bracelets loose or close to the wrist, our Elaina Adjustable Chain Bracelet in Dark Red is a delicate addition to any arm party.																",https://www.jewelryus.shop/images/cache/1/6/166eefa28b48fdb57cafff6a86745088.jpg,Elaina Gold Adjustable Chain Bracelet in Dark Red,$70.00,$18.99,KS-0934
In stock,"A delicate statement for any affair, the Petunia Ear Climbers in Gold feature intricate CZ floral clusters that sparkle at every angle.																",https://www.jewelryus.shop/images/cache/a/0/a02283a71c50a69ac795536de98297e4.jpg,Petunia Ear Climbers in Gold,$110.00,$29.00,KS-0997
In stock,"A delicate statement for any affair, the Petunia Ear Climbers in Silver feature intricate CZ floral clusters that sparkle at every angle.																",https://www.jewelryus.shop/images/cache/9/3/93ae1280802b0f93559cbeb2cb888990.jpg,Petunia Ear Climbers in Silver,$110.00,$29.00,KS-0998
In stock,"Whether you like your bracelets loose or close to the wrist, our Elaina Rose Gold Adjustable Chain Bracelet in Ivory Pearl is a delicate addition to any arm party.																",https://www.jewelryus.shop/images/cache/4/e/4e27c3837c433b0df45e03aa6e6e3877.jpg,Elaina Rose Gold Adjustable Chain Bracelet in Ivory Pearl,$70.00,$18.99,KS-0995
Out of Stock,"For a statement ring that goes with everything, look no further than the Boone Cocktail Ring in Gold, featuring an adjustable back and our custom filigree design.																",https://www.jewelryus.shop/images/cache/b/0/b05ff7d252dab637252b54792be5409d.jpg,Boone Cocktail Ring in Gold,$95.00,$24.50,KS-0992
In stock,"Featuring an adjustable closure and diamond accent, the Alina Choker Necklace in Neutral Gemstone Mix and 14k Rose Gold shines with stunning semi-precious gemstones. Wear this artful piece to perfect your everyday look or layer with other styles for a simple statement. Our diamonds are conflict-free in compliance with the Kimberley Process.																",https://www.jewelryus.shop/images/cache/c/6/c68e0a0ce7212243979cf11a4ee8ed3b.jpg,Alina Choker Necklace in Neutral Gemstone Mix and 14k Rose Gold,$670.00,$157.00,KS-0990
In stock,Add a colorful statement to your signature stack with the Daisy Silver Adjustable Chain Bracelet in Navy Cat's Eye.																,https://www.jewelryus.shop/images/cache/b/9/b9ef318577a52c66ac2f5dce3da8fdb5.jpg,Daisy Silver Adjustable Chain Bracelet in Navy Cat's Eye,$85.00,$21.89,KS-0942
In stock,"Elevate your everyday with the Pattie Pendant Necklace in Platinum Drusy, accented by a clean rectangular shape and dash of drusy.																",https://www.jewelryus.shop/images/cache/e/d/eda9a00e7024962cb899f7723f4da7c9.jpg,Pattie Silver Pendant Necklace in Platinum Drusy,$80.00,$20.69,KS-0985
In stock,"Elevate your everyday with the Pattie Pendant Necklace in Platinum Drusy, accented by a clean rectangular shape and dash of drusy.																",https://www.jewelryus.shop/images/cache/2/1/21a9afed57fceb1f4b0aefeab47a283a.jpg,Pattie Pendant Necklace in Platinum Drusy,$85.00,$21.89,KS-0984
In stock,"For a petite take on our iconic oval silhouette, look no further than the Ellie Silver Stud Earrings in Maroon Jade, a classic with delicate details.																",https://www.jewelryus.shop/images/cache/5/c/5cfbb5b68edd82431bb3d77129554721.jpg,Ellie Silver Stud Earrings in Maroon Jade,$70.00,$18.99,KS-0980
Out of Stock,"The Boone Ring is a statement in metallic detail that goes beyond a simple cocktail ring. With an adjustable back for the utmost comfort and our custom Kendra Scott filigree, this ring is the finishing touch to any outfit.																",https://www.jewelryus.shop/images/cache/9/7/97a634b92d9028389a2e8fb75dd3aa62.jpg,Boone Ring in Antique Silver,$95.00,$24.50,KS-0994
Out of Stock,"The Boone Ring in Silver is a statement in metallic detail that goes beyond a simple cocktail ring. With an adjustable back for the utmost comfort and our custom Kendra Scott filigree, this ring is the finishing touch to any outfit.																",https://www.jewelryus.shop/images/cache/f/c/fc33d03884f26caabea956f04b9cf630.jpg,Boone Cocktail Ring in Silver,$95.00,$24.50,KS-0993
In stock,"Upgrade your simple hoop with the Elora Statement Earrings in Blue Drusy, featuring a dainty stone in our signature oval shape.																",https://www.jewelryus.shop/images/cache/9/5/9508e2d7ce20d1477d8247f4f88bacd7.jpg,Elora Statement Earrings in Blue Drusy,$105.00,$27.50,KS-1012
In stock,"The Tilda Stud Earrings in Gold define the modern heirloom trend with an artful silhouette, dainty details, and crystal accents.																",https://www.jewelryus.shop/images/cache/3/6/368827e6c8fee13c1f258e20a0e7f1de.jpg,Tilda Stud Earrings in Gold,$80.00,$20.69,KS-1065
In stock,"Our classic oval shape goes dainty in the Lee Gold Drop Earrings in Teal Drusy, a subtle take on a signature style.																",https://www.jewelryus.shop/images/cache/8/4/84714bfe00d7897e501541a97f2cdf4b.jpg,Lee Gold Drop Earrings in Teal Drusy,$85.00,$21.89,KS-1068
In stock,"For a necklace that??s as bold as it is beautiful, look no further then seven striking stones linked together to create the Harlow Statement Necklace in Navy Dusted Glass.																",https://www.jewelryus.shop/images/cache/4/f/4fd41fbcf70ae47007b1a5f2f48de74c.jpg,Harlow Statement Necklace in Navy Dusted Glass,$215.00,$60.50,KS-1069
In stock,"Whether you like your bracelets loose or close to the wrist, our adjustable Elaina Bracelet in Light Blue Illusion is a delicate addition to any arm party. Gift Hint: This is perfect for March birthdays!																",https://www.jewelryus.shop/images/cache/2/d/2d0e5e3d7a0a57f20fc6d58275891af7.jpg,Elaina Adjustable Chain Bracelet in Light Blue Illusion,$70.00,$18.99,KS-0982
In stock,"Our daintiest oval-shaped earring yet, the Dani Silver Drop Earrings in Rose Quartz makes a simple statement for your everyday look.																",https://www.jewelryus.shop/images/cache/7/b/7b6f88b58fe9137ef1e1e74b0cca2a49.jpg,Dani Silver Drop Earrings in Rose Quartz,$72.00,$17.60,KS-1060
In stock,"Upgrade your simple hoop with the Elora Hoop Earrings in Black Mother-of-Pearl, featuring a dainty stone in our signature oval shape.																",https://www.jewelryus.shop/images/cache/0/7/076c7506e21fb7f47b5142b149e4c830.jpg,Elora Hoop Earrings in Black Mother of Pearl,$100.00,$26.00,KS-1062
In stock,"The Tilda Stud Earrings in Rose Gold define the modern heirloom trend with an artful silhouette, dainty details, and crystal accents.																",https://www.jewelryus.shop/images/cache/6/2/62848a61cf3de553304d0d9f459a231a.jpg,Tilda Stud Earrings in Rose Gold,$80.00,$20.69,KS-1066
